Gender,Age,Married,Number of Dependents,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge
Male,59,Yes,0,9,66,Offer A,Yes,45.03,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,One Year,Yes,Bank Withdrawal,20.35
Male,72,Yes,0,2,57,,Yes,48.16,Yes,Yes,DSL,10.0,No,Yes,Yes,No,Yes,No,No,Yes,One Year,Yes,Credit Card,71.1
Male,50,Yes,1,2,59,,Yes,41.19,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,19.85
Male,32,No,0,0,42,,Yes,48.41,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,One Year,Yes,Credit Card,19.55
Female,29,Yes,0,1,58,,Yes,31.27,Yes,Yes,DSL,59.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,84.3
Male,73,Yes,0,10,71,,No,0.0,No,Yes,Cable,28.0,No,Yes,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,52.3
Male,74,Yes,0,4,49,,Yes,1.67,No,Yes,DSL,15.0,No,Yes,No,No,No,No,No,Yes,Two Year,No,Credit Card,49.8
Female,41,No,0,0,1,Offer E,Yes,46.09,No,Yes,Fiber Optic,10.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,78.65
Female,58,Yes,1,9,72,,Yes,33.37,Yes,Yes,Fiber Optic,16.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,117.5
Female,43,No,0,0,68,,Yes,48.82,Yes,Yes,Fiber Optic,17.0,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Two Year,No,Credit Card,110.25
Female,48,Yes,1,1,23,Offer D,Yes,39.59,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,20.4
Male,25,Yes,3,8,72,Offer A,No,0.0,No,Yes,DSL,82.0,Yes,Yes,Yes,No,No,No,No,Yes,Two Year,No,Credit Card,38.5
Female,19,Yes,0,10,2,,Yes,4.65,No,Yes,Fiber Optic,53.0,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,90.35
Male,57,No,0,0,43,,Yes,3.18,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,19.55
Male,54,No,0,0,52,,Yes,20.8,Yes,Yes,Fiber Optic,30.0,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Two Year,Yes,Bank Withdrawal,109.3
Female,34,No,0,0,2,Offer E,No,0.0,No,Yes,DSL,5.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,24.5
Female,48,Yes,3,9,58,Offer B,Yes,11.81,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,19.85
Male,68,No,0,0,70,Offer A,No,0.0,No,Yes,Cable,13.0,No,Yes,Yes,No,Yes,No,No,Yes,One Year,Yes,Credit Card,44.05
Male,78,Yes,0,7,33,,Yes,25.15,Yes,Yes,Fiber Optic,20.0,Yes,No,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,109.9
Male,20,No,3,0,72,,No,0.0,No,Yes,Cable,71.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,67.2
Female,54,No,0,0,35,,No,0.0,No,Yes,DSL,21.0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,24.15
Female,22,No,0,0,65,,Yes,26.83,Yes,Yes,Fiber Optic,59.0,No,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,105.05
Female,29,Yes,0,3,53,,Yes,41.82,Yes,Yes,Fiber Optic,69.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,111.8
Female,64,No,0,0,15,Offer D,Yes,32.07,Yes,Yes,Fiber Optic,28.0,No,Yes,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,100.15
Male,35,Yes,0,4,60,Offer B,Yes,43.57,No,Yes,DSL,30.0,Yes,Yes,Yes,Yes,No,No,No,Yes,One Year,Yes,Bank Withdrawal,65.85
Female,74,No,0,0,63,Offer B,Yes,41.8,Yes,Yes,Fiber Optic,16.0,No,No,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,89.6
Female,38,Yes,1,6,71,,Yes,9.4,No,Yes,Fiber Optic,10.0,No,No,Yes,No,No,No,No,Yes,Two Year,No,Bank Withdrawal,76.05
Female,62,No,1,0,61,Offer B,Yes,32.05,Yes,No,No Internet,0.0,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,25.0
Male,58,No,3,0,40,Offer B,Yes,26.41,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,One Year,Yes,Bank Withdrawal,20.4
Female,35,Yes,0,5,4,,Yes,45.84,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,20.15
Male,62,No,0,0,17,,Yes,30.61,No,Yes,Fiber Optic,7.0,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.65
Male,57,No,0,0,26,Offer C,Yes,13.34,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,20.3
Female,55,Yes,3,1,68,,Yes,18.42,Yes,Yes,Fiber Optic,53.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,109.05
Male,79,No,0,0,29,Offer C,Yes,6.59,No,Yes,Fiber Optic,21.0,No,Yes,Yes,No,Yes,Yes,No,No,One Year,Yes,Bank Withdrawal,101.45
Female,52,Yes,2,10,58,,Yes,25.86,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,20.5
Male,35,Yes,0,1,20,Offer D,Yes,18.05,No,Yes,Fiber Optic,5.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,89.0
Male,29,No,0,0,3,,No,0.0,No,Yes,DSL,85.0,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,35.45
Male,28,Yes,0,1,55,Offer B,Yes,8.8,No,Yes,DSL,48.0,Yes,Yes,No,Yes,No,No,No,No,Two Year,No,Bank Withdrawal,57.55
Male,29,No,0,0,19,,Yes,11.42,Yes,Yes,Fiber Optic,41.0,Yes,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.75
Female,70,Yes,0,1,18,,No,0.0,No,Yes,DSL,12.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,48.35
Male,29,No,0,0,37,Offer C,Yes,12.69,Yes,Yes,Fiber Optic,69.0,Yes,No,No,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,91.15
Female,70,Yes,0,3,67,,Yes,2.67,Yes,Yes,Fiber Optic,25.0,Yes,Yes,Yes,Yes,No,Yes,No,Yes,One Year,Yes,Credit Card,105.4
Female,41,No,0,0,36,Offer C,No,0.0,No,Yes,Cable,2.0,No,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,34.85
Male,56,No,0,0,8,Offer E,Yes,3.27,Yes,Yes,Fiber Optic,6.0,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,100.85
Female,20,Yes,0,3,55,,Yes,23.45,Yes,Yes,Fiber Optic,53.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,77.75
Male,40,No,0,0,5,Offer E,Yes,42.52,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,20.65
Male,40,Yes,0,0,70,,Yes,43.46,Yes,Yes,DSL,21.0,Yes,Yes,Yes,Yes,Yes,No,No,Yes,One Year,No,Bank Withdrawal,79.4
Female,28,No,0,0,29,,Yes,39.35,Yes,Yes,DSL,69.0,No,Yes,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,55.25
Male,34,No,0,0,13,Offer D,Yes,7.33,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,One Year,Yes,Bank Withdrawal,19.95
Male,30,No,0,0,5,,No,0.0,No,Yes,Cable,59.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,43.25
Male,50,Yes,2,1,22,Offer D,Yes,38.82,No,Yes,Fiber Optic,19.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,75.0
Male,34,Yes,0,1,54,,Yes,42.09,No,Yes,Fiber Optic,9.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,109.75
Female,41,Yes,0,10,45,,Yes,26.01,No,Yes,Cable,29.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,81.0
Male,51,Yes,1,0,72,Offer A,Yes,24.95,Yes,Yes,Fiber Optic,13.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,114.45
Female,60,No,0,0,2,,Yes,35.5,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20.1
Male,46,No,0,0,59,,Yes,9.7,No,Yes,DSL,6.0,No,No,Yes,No,No,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,61.35
Male,48,Yes,0,5,70,,Yes,31.13,Yes,Yes,Fiber Optic,16.0,No,Yes,Yes,No,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,95.0
Female,19,No,0,0,19,,No,0.0,No,Yes,DSL,59.0,No,Yes,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,39.7
Female,45,Yes,0,7,64,Offer B,Yes,1.27,Yes,Yes,Fiber Optic,13.0,Yes,No,Yes,No,Yes,No,No,Yes,Two Year,Yes,Credit Card,94.6
Female,70,Yes,0,1,31,Offer C,Yes,47.95,No,Yes,Fiber Optic,21.0,No,No,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.9
Male,70,Yes,0,9,2,Offer E,Yes,34.99,No,Yes,Fiber Optic,24.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,70.1
Male,26,No,0,0,27,,Yes,20.66,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,19.4
Male,57,Yes,1,1,60,Offer B,Yes,2.83,Yes,Yes,Fiber Optic,19.0,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,103.75
Male,20,Yes,0,2,72,Offer A,Yes,6.89,Yes,Yes,Fiber Optic,73.0,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Two Year,Yes,Bank Withdrawal,109.65
Male,25,No,0,0,72,Offer A,Yes,29.29,Yes,No,No Internet,0.0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,24.75
Male,75,No,0,0,52,,Yes,23.04,Yes,Yes,Fiber Optic,25.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,110.75
Female,67,No,0,0,28,,Yes,12.72,Yes,Yes,Cable,23.0,No,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,64.45
Female,33,Yes,0,0,19,Offer D,Yes,34.51,No,Yes,Cable,22.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,44.9
Male,49,No,0,0,23,Offer D,Yes,16.28,Yes,Yes,Fiber Optic,2.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,104.05
Male,47,No,2,0,7,,Yes,49.16,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,One Year,No,Credit Card,19.45
Male,74,No,0,0,15,,Yes,23.53,Yes,Yes,Fiber Optic,9.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,74.2
Female,20,Yes,1,1,19,,Yes,31.58,Yes,No,No Internet,0.0,No,No,No,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,24.9
Male,69,Yes,0,0,6,Offer E,Yes,47.9,No,Yes,Fiber Optic,6.0,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.75
Male,30,Yes,0,1,42,Offer B,Yes,17.31,Yes,Yes,Cable,82.0,Yes,No,No,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,80.45
Male,64,Yes,3,6,71,Offer A,Yes,16.13,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,19.6
Male,31,No,0,0,54,Offer B,Yes,49.98,No,Yes,Fiber Optic,26.0,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,105.4
Female,62,Yes,1,9,72,,Yes,46.63,Yes,Yes,Fiber Optic,14.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,110.45
Male,23,Yes,0,6,51,,Yes,26.73,Yes,Yes,Fiber Optic,41.0,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,110.05
Female,72,No,0,0,39,,Yes,10.03,Yes,Yes,Fiber Optic,13.0,No,No,Yes,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,99.75
Male,32,Yes,0,4,24,,Yes,27.38,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,19.75
Male,62,No,0,0,66,Offer A,Yes,25.82,No,Yes,Cable,26.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,99.5
Female,37,No,0,0,49,,Yes,20.45,No,Yes,Cable,23.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,67.4
Male,42,Yes,0,7,68,Offer A,No,0.0,No,Yes,Cable,16.0,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,54.1
Male,42,No,0,0,27,Offer C,Yes,39.77,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,20.35
Male,46,Yes,0,9,31,,Yes,29.77,Yes,Yes,Fiber Optic,12.0,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Credit Card,88.65
Female,57,No,0,0,28,,Yes,38.97,No,Yes,Cable,3.0,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,59.55
Male,50,No,0,0,12,,Yes,46.58,No,Yes,DSL,26.0,No,No,No,Yes,No,No,No,No,Month-to-Month,No,Bank Withdrawal,50.25
Male,38,Yes,0,6,45,Offer B,Yes,9.91,No,Yes,Cable,19.0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,78.8
Male,32,Yes,0,1,72,,Yes,47.83,Yes,Yes,Fiber Optic,27.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,111.9
Male,21,Yes,3,6,71,,Yes,11.3,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,Two Year,No,Mailed Check,19.45
Male,39,Yes,0,10,67,,No,0.0,No,Yes,DSL,6.0,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,50.95
Female,22,No,0,0,22,,Yes,1.74,No,Yes,DSL,85.0,No,Yes,Yes,No,Yes,No,No,Yes,One Year,No,Bank Withdrawal,65.25
Female,35,Yes,0,10,51,Offer B,Yes,25.45,Yes,Yes,DSL,4.0,No,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,78.65
Female,20,Yes,0,7,47,,Yes,11.68,Yes,No,No Internet,0.0,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,26.9
Male,58,No,0,0,2,,Yes,26.47,No,Yes,Fiber Optic,10.0,No,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,80.2
Female,42,Yes,0,1,32,,Yes,45.26,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,One Year,No,Credit Card,19.3
Male,42,No,0,0,69,,Yes,47.43,Yes,Yes,DSL,22.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,90.65
Male,47,No,0,0,1,Offer E,Yes,48.58,No,Yes,DSL,21.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,46.2
Male,26,No,0,0,1,Offer E,Yes,23.63,Yes,Yes,Cable,85.0,No,Yes,No,Yes,No,No,No,Yes,Month-to-Month,No,Mailed Check,60.1
Male,53,No,0,0,2,Offer E,Yes,6.74,No,Yes,Fiber Optic,3.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,71.3
Male,28,Yes,0,1,13,,No,0.0,No,Yes,Cable,71.0,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,54.45
Male,44,No,0,0,11,Offer D,Yes,40.59,No,Yes,DSL,22.0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,45.2
Male,52,No,0,0,56,,Yes,47.82,Yes,No,No Internet,0.0,No,No,No,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,25.95
Male,31,No,0,0,72,Offer A,Yes,23.43,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,20.8
Male,36,Yes,0,3,38,,Yes,12.71,Yes,Yes,Fiber Optic,9.0,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,91.7
Female,60,No,0,0,70,Offer A,Yes,44.57,Yes,Yes,Fiber Optic,26.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,111.95
Female,79,No,0,0,12,,Yes,34.01,Yes,Yes,Fiber Optic,18.0,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,91.3
Female,53,No,0,0,17,,Yes,5.49,Yes,Yes,DSL,14.0,No,No,Yes,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,69.0
Male,53,Yes,0,1,18,Offer D,Yes,31.49,Yes,Yes,Fiber Optic,20.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.7
Male,45,Yes,0,9,54,Offer B,No,0.0,No,Yes,Cable,9.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,30.4
Male,61,No,0,0,5,,Yes,31.09,No,Yes,Fiber Optic,11.0,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,96.1
Male,53,No,0,0,3,,Yes,43.72,Yes,Yes,Fiber Optic,21.0,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,91.85
Female,28,Yes,2,5,69,,Yes,42.49,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,20.2
Male,38,Yes,0,1,72,,Yes,13.72,Yes,No,No Internet,0.0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,24.8
Female,59,Yes,0,1,50,,Yes,35.33,Yes,Yes,Fiber Optic,17.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.4
Male,68,Yes,0,6,55,,Yes,42.9,Yes,Yes,Fiber Optic,27.0,No,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,74.0
Female,38,No,0,0,3,,Yes,40.2,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,20.0
Male,65,No,0,0,1,,Yes,42.3,No,Yes,Fiber Optic,16.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.1
Female,42,No,1,0,4,Offer E,Yes,33.5,No,Yes,Fiber Optic,27.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.9
Male,62,Yes,0,2,23,Offer D,Yes,24.88,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,One Year,No,Mailed Check,19.65
Male,70,No,0,0,55,,Yes,29.3,Yes,Yes,Fiber Optic,10.0,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,116.5
Female,43,Yes,1,3,65,,Yes,28.46,Yes,Yes,Cable,14.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,90.45
Male,22,Yes,2,6,15,Offer D,Yes,24.36,Yes,Yes,DSL,59.0,No,No,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,59.65
Male,19,Yes,0,4,68,Offer A,Yes,25.19,Yes,No,No Internet,0.0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,25.05
Male,28,No,0,0,4,,Yes,45.37,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20.7
Female,69,Yes,0,9,64,,Yes,3.76,No,Yes,Fiber Optic,11.0,Yes,Yes,Yes,No,No,Yes,No,Yes,One Year,No,Bank Withdrawal,97.0
Male,49,Yes,0,10,26,,Yes,45.28,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,One Year,Yes,Bank Withdrawal,20.05
Female,23,Yes,0,7,15,,Yes,34.63,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,One Year,No,Credit Card,20.55
Female,54,No,0,0,15,Offer D,Yes,39.84,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.75
Male,61,No,0,0,6,Offer E,Yes,39.32,No,Yes,Fiber Optic,12.0,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.85
Female,47,Yes,2,1,30,Offer C,Yes,16.48,No,Yes,DSL,17.0,Yes,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,66.3
Female,26,No,0,0,37,Offer C,Yes,3.27,No,Yes,Cable,71.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,64.75
Male,79,Yes,0,9,68,,No,0.0,No,Yes,Cable,28.0,Yes,Yes,Yes,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,41.95
Female,30,No,0,0,3,,Yes,26.26,No,Yes,Fiber Optic,30.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.55
Female,42,No,0,0,42,Offer B,Yes,32.16,No,Yes,DSL,8.0,Yes,No,Yes,No,No,No,No,Yes,Month-to-Month,No,Credit Card,54.55
Female,60,No,0,0,3,Offer E,Yes,32.43,No,Yes,Fiber Optic,2.0,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.1
Female,69,Yes,0,8,72,Offer A,Yes,15.85,Yes,Yes,Fiber Optic,2.0,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Credit Card,110.8
Female,53,No,0,0,6,,Yes,1.15,Yes,Yes,Fiber Optic,3.0,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,90.1
Male,33,Yes,1,2,2,,Yes,30.87,No,Yes,DSL,19.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,44.5
Male,40,No,0,0,3,,Yes,12.05,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,One Year,No,Credit Card,21.2
Male,55,Yes,0,5,50,Offer B,Yes,1.87,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,19.8
Male,38,No,0,0,8,Offer E,Yes,48.2,Yes,Yes,DSL,22.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,59.25
Male,20,Yes,2,1,17,,No,0.0,No,Yes,DSL,52.0,Yes,No,Yes,No,Yes,No,No,Yes,One Year,No,Credit Card,44.45
Male,40,No,0,0,9,Offer E,Yes,48.61,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,One Year,Yes,Mailed Check,20.15
Male,65,No,0,0,47,,Yes,36.58,No,Yes,Fiber Optic,20.0,Yes,No,No,No,No,Yes,Yes,No,Month-to-Month,No,Credit Card,85.5
Female,26,No,0,0,33,,Yes,16.76,Yes,Yes,Fiber Optic,85.0,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,90.65
Male,55,No,0,0,7,Offer E,Yes,34.59,No,Yes,Fiber Optic,12.0,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.9
Female,59,Yes,2,2,52,Offer B,Yes,10.03,No,Yes,Cable,29.0,No,No,Yes,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,50.95
Male,22,Yes,0,2,70,,Yes,4.8,Yes,Yes,Cable,41.0,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Two Year,No,Credit Card,77.3
Male,49,No,0,0,1,,Yes,34.37,No,Yes,DSL,28.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,45.3
Male,24,Yes,0,0,61,Offer B,Yes,46.76,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,20.55
Female,61,Yes,0,1,2,Offer E,Yes,27.41,No,Yes,Cable,23.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Credit Card,69.0
Female,21,Yes,0,5,3,,Yes,23.26,Yes,Yes,Fiber Optic,42.0,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,95.2
Female,34,No,0,0,13,Offer D,Yes,38.4,Yes,Yes,DSL,23.0,Yes,No,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,78.75
Male,37,Yes,0,10,25,,No,0.0,No,Yes,Cable,24.0,No,No,Yes,No,Yes,No,No,No,One Year,Yes,Credit Card,38.1
Female,58,Yes,0,8,68,Offer A,No,0.0,No,Yes,DSL,11.0,Yes,No,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,54.4
Female,29,No,0,0,1,,Yes,6.67,No,Yes,Fiber Optic,27.0,Yes,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.6
Female,23,Yes,0,7,69,Offer A,Yes,22.08,Yes,No,No Internet,0.0,No,No,No,No,No,No,No,No,One Year,Yes,Bank Withdrawal,26.3
Female,46,Yes,1,1,72,Offer A,Yes,24.9,Yes,Yes,DSL,19.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,84.7
Male,55,No,0,0,44,,No,0.0,No,Yes,Cable,17.0,Yes,No,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,54.0
Female,63,Yes,3,8,24,Offer C,Yes,21.43,Yes,Yes,DSL,56.0,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,78.6
Male,27,Yes,1,1,68,,Yes,29.67,Yes,Yes,Fiber Optic,85.0,Yes,Yes,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,85.5
Female,40,Yes,0,0,71,,Yes,38.22,No,Yes,DSL,23.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,82.0
